epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.25747713446617126,0.5644103288650513,9.999999747378752e-06,1.6235522031784058,0.20023418962955475,0.49787962436676025,1.6201566457748413
1,0.3298720419406891,0.6477648615837097,9.999999747378752e-06,1.4950413703918457,0.2898126542568207,0.6339303255081177,1.5115365982055664
2,0.36943328380584717,0.7067480683326721,9.999999747378752e-06,1.3638219833374023,0.3799765706062317,0.7275909781455994,1.3493688106536865
3,0.4176234006881714,0.753638505935669,9.999999747378752e-06,1.2423171997070312,0.41803279519081116,0.7693577408790588,1.257484793663025
4,0.44767823815345764,0.7855534553527832,9.999999747378752e-06,1.1524347066879272,0.45550352334976196,0.7978752851486206,1.1983332633972168
5,0.47363802790641785,0.8081603646278381,9.999999747378752e-06,1.089950680732727,0.4736534059047699,0.8154522180557251,1.1553740501403809
6,0.49235832691192627,0.8213558197021484,9.999999747378752e-06,1.047195553779602,0.4812646508216858,0.830492377281189,1.1121623516082764
7,0.5033272504806519,0.8327674865722656,9.999999747378752e-06,1.013560175895691,0.5017564296722412,0.8380103707313538,1.0915535688400269
8,0.5256307125091553,0.8445689082145691,9.999999747378752e-06,0.9773496985435486,0.5117096304893494,0.8473191261291504,1.0643261671066284
9,0.5327239632606506,0.8495596647262573,9.999999747378752e-06,0.9563356041908264,0.5322014093399048,0.8556122779846191,1.0369019508361816
10,0.5426691174507141,0.8593126535415649,9.999999747378752e-06,0.9265057444572449,0.5468384027481079,0.8626434803009033,1.0148922204971313
11,0.5531261563301086,0.8636500835418701,9.999999747378752e-06,0.9130150079727173,0.5491803288459778,0.8646258115768433,1.007326364517212
12,0.5617550015449524,0.8694299459457397,9.999999747378752e-06,0.8896140456199646,0.5655737519264221,0.8735880255699158,0.9733057022094727
13,0.5725045800209045,0.8756018877029419,9.999999747378752e-06,0.8688620924949646,0.5661592483520508,0.8766047954559326,0.963986873626709
14,0.5708226561546326,0.878101646900177,9.999999747378752e-06,0.8586908578872681,0.5661592483520508,0.8765583038330078,0.9636109471321106
15,0.5866178870201111,0.8846951127052307,9.999999747378752e-06,0.8359684348106384,0.5690866708755493,0.8816837072372437,0.942634642124176
16,0.5978793501853943,0.8878887891769409,9.999999747378752e-06,0.8252670764923096,0.5725995302200317,0.8831227421760559,0.9400606155395508
17,0.5976599454879761,0.8919652104377747,9.999999747378752e-06,0.8072202205657959,0.5755269527435303,0.883822500705719,0.935308039188385
18,0.6080438494682312,0.8966515064239502,9.999999747378752e-06,0.7901591658592224,0.578454315662384,0.8845379948616028,0.936709463596344
